Motif_Identifier	GO_Term_Identifier	GOMo_Score	p-value	q-value
10	GO:0044262	4.174e-02	2.711e-03	4.349e-02
10	GO:0005788	4.176e-02	2.715e-03	4.349e-02
10	GO:0014910	4.177e-02	2.717e-03	4.349e-02
10	GO:0060485	4.181e-02	2.723e-03	4.353e-02
10	GO:0044419	4.204e-02	2.761e-03	4.402e-02
10	GO:0005815	4.207e-02	2.766e-03	4.402e-02
10	GO:0008376	4.208e-02	2.767e-03	4.402e-02
10	GO:0007017	4.225e-02	2.801e-03	4.450e-02
10	GO:0016534	4.241e-02	2.832e-03	4.479e-02
10	GO:0001945	4.241e-02	2.832e-03	4.479e-02
10	GO:0014031	4.245e-02	2.839e-03	4.479e-02
10	GO:0048762	4.245e-02	2.839e-03	4.479e-02
10	GO:0044087	4.246e-02	2.842e-03	4.479e-02
10	GO:0043005	4.259e-02	2.867e-03	4.512e-02
10	GO:0006511	4.268e-02	2.881e-03	4.527e-02
10	GO:0022011	4.290e-02	2.920e-03	4.574e-02
10	GO:0032292	4.290e-02	2.920e-03	4.574e-02
10	GO:0060562	4.313e-02	2.965e-03	4.638e-02
10	GO:0048755	4.331e-02	2.997e-03	4.680e-02
10	GO:0043425	4.342e-02	3.016e-03	4.702e-02
10	GO:0031418	4.420e-02	3.161e-03	4.921e-02
10	GO:0008634	4.431e-02	3.183e-03	4.946e-02
10	GO:0008415	4.433e-02	3.187e-03	4.946e-02
11	GO:0005576	4.758e-08	8.479e-08	4.509e-05
11	GO:0005886	6.676e-07	8.479e-08	4.509e-05
11	GO:0004872	4.843e-06	8.479e-08	4.509e-05
11	GO:0032501	1.386e-05	8.479e-08	4.509e-05
11	GO:0004888	1.902e-05	8.479e-08	4.509e-05
11	GO:0044421	2.935e-05	8.479e-08	4.509e-05
11	GO:0005615	4.377e-05	8.479e-08	4.509e-05
11	GO:0004871	2.034e-04	8.479e-08	4.509e-05
11	GO:0060089	2.034e-04	8.479e-08	4.509e-05
11	GO:0031224	3.526e-04	8.479e-08	4.509e-05
11	GO:0007186	8.020e-04	8.479e-08	4.509e-05
